FileID,Filename,N Sr,Nerr Sr,Nth Sr,Nbec Sr,OD Sr,sx Sr,sxerr Sr,sy Sr,syerr Sr,rx Sr,rxerr Sr,ry Sr,ryerr Sr,mx Sr,myerr Sr,my Sr,myerr Sr,T Sr,Terr Sr,sigma Sr,params Sr,Angle Sr,N K,Nerr K,Nth K,Nbec K,OD K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,myerr K,my K,myerr K,T K,Terr K,sigma K,params K,Angle K,N Rb,Nerr Rb,Nth Rb,Nbec Rb,OD Rb,ODerr Rb,sx Rb,sxerr Rb,sy Rb,syerr Rb,rx Rb,rxerr Rb,ry Rb,ryerr Rb,mx Rb,mxerr Rb,my Rb,myerr Rb,T Rb,Terr Rb,sigma Rb,Angle Rb,OD2 Rb,OD2err Rb,sx2 Rb,sx2err Rb,sy2 Rb,syerr Rb,N2 Rb,N2err Rb,params Rb,N total {*},m {*},rho Sr {*},rho K {*},rho Rb {*},dynamic [(mx_K^2+my_K^2)^2] {*},dynamic 2,dynamic 3,dynamic 4,dynamic 5,dynamic 6,dynamic 7,user {*},user2,user3,Omit,IterationNum,IterationCount,Dark_MOT_durati,Dumm,repumper_dark,dark_detuning,Imaging_det,1070_R1,1070_R2,1070_R3,1070_R4,1070_R5,1070_R6,1070_R7,t_exp,Rb_VCO,1550_R5,1550_R6,1550_R7,t_R1,t_R2,t_R3,t_R4,t_R5,t_R6,t_R7,vva_imag,on_1550,freq,time_freq,push_int,k_vco,k_dark_start,k_dark_rep,k_dark_vco,k_dark_cool_int,k_dark_aom,Dark2_MOT_durat,k_dark2_rep,k_dark2_vco,k_dark2_cool_in,k_dark2_aom,imag_k,k_imag_det,aom_img,gradient,feshbach,gradient2,mol_dur,k_mol_vco_1,k_mol_rep,k_mol_aom,k_mol_vco_2,tt,k_dark_dur,ri,r1,ci,c1,Remark,masked
0,,,,,,,,,,,,,,,,,,,,,,,,96.054503444028555,18.631511442827939,,,8.6367880024764379,28.272837441858453,0.63550038790702823,17.617353742450597,0.39599275256693367,,,,,212.38807506976758,0.151432,180.35690245913406,,0.22045958765189969,,5.2971575690449653,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,200.0,8.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
1,,,,,,,,,,,,,,,,,,,,,,,,101.54021145461098,19.030228046659964,,,7.9103840624109285,31.267351477993465,0.67947018665075309,18.386285409305216,0.399552009806037,,,,,222.78786051037497,0.152517,181.13020204304036,,0.25810200878557193,,5.0300743207235366,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,40.0,200.0,7.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
2,,,,,,,,,,,,,,,,,,,,,,,,96.112049061696823,14.753580368920284,,,11.17463543784543,25.587823686402018,0.45477901485562328,15.054132091208659,0.26756098542362455,,,,,224.38658452542413,0.102582,179.46095423923794,,0.17291730357148899,,4.7780865664398453,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,40.0,200.0,4.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
3,,,,,,,,,,,,,,,,,,,,,,,,105.02338884481573,26.975156862741343,,,11.301373211180334,25.644510695065602,0.7628163261711598,16.229494493544316,0.4827591019868851,,,,,209.13071011858099,0.18496,178.33083564721386,,0.18356008992090764,,8.4006302063368405,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,40.0,200.0,2.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
4,,111.50577956432748,8.6784741404764869,,,13.182743547640865,24.860375165769497,0.22346378123015168,15.238018472499281,0.13697081383690238,,,,,214.90912497957575,0.052915,181.7780786586986,,0.16832290063829958,,2.848751740103892,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,109.69346062013695,8.3409321668698002,,,13.225136183594847,24.633643397640736,0.21685321165621282,15.079833072202119,0.13274979997053743,,,,,214.91624377185482,0.0509117,181.77932450265183,,0.16510684150013422,,2.7513303857580271,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,111.50577956432748,8.6784741404764869,,,13.182743547640865,0.592138,24.860375165769497,0.22346378123015168,15.238018472499281,0.13697081383690238,,,,,214.90912497957575,0.0863293,181.7780786586986,0.052915,0.16832290063829958,,2.848751740103892,,,,,,,,,,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,25.0,40.0,200.0,13.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
5,,,,,,,,,,,,,,,,,,,,,,,,102.07229470695691,25.083402878503264,,,11.224370793778975,25.988614985178586,0.73957194393873216,15.671383456318376,0.44596895691752436,,,,,216.47471651344836,0.170899,181.93269701312076,,0.18168863220348691,,7.8976455126715202,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,40.0,200.0,18.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
6,,,,,,,,,,,,,,,,,,,,,,,,104.03414241062107,25.622737417176424,,,10.119390296019468,28.775180181770494,0.8210310950279236,16.001035633825897,0.45655131910741331,,,,,210.04924971620812,0.174742,182.61828606913772,,0.20988627071572452,,7.5813397133296387,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,40.0,200.0,12.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
7,,,,,,,,,,,,,,,,,,,,,,,,104.39670056272087,21.244395289981803,,,10.007225129926198,25.777823263598197,0.60774030165374282,18.124726440959861,0.42731020714342599,,,,,203.34418049299487,0.163525,180.43721190400191,,0.20177564452928207,,6.239409948105588,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,40.0,200.0,10.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
8,,,,,,,,,,,,,,,,,,,,,,,,94.111596573687137,15.220190288676188,,,10.29815685050697,26.354968400230295,0.49358810262382036,15.529795550499573,0.2908491789400578,,,,,225.04344193876088,0.11145,184.29318600975427,,0.18365442687472408,,4.7802328782609189,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,40.0,200.0,15.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
9,,,,,,,,,,,,,,,,,,,,,,,,118.24743812202657,21.462675538778328,,,11.92599170956597,29.045770153784765,0.61067949333786964,15.28829098363493,0.32143219217658048,,,,,209.95893744703713,0.123072,180.12425669535298,,0.20576158108810966,,6.4680859724265138,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,40.0,200.0,12.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
10,,,,,,,,,,,,,,,,,,,,,,,,92.993604422721631,13.330752800626685,,,10.006305047832294,23.112629698518596,0.38370608709752563,18.008377283489288,0.29896739251911641,,,,,203.28221429225235,0.114543,180.82199639520485,,0.17701771856851425,,4.1513569992861834,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,40.0,200.0,9.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
11,,207.80614889004937,320.52302543867989,,,0.55012652379172411,35.874015492366439,4.288956706285477,471.58547187599117,122.75910275268555,,,,,203.29010592847698,54.0751,83.679426823027669,,26.958269433668566,,8.9556786458398534,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,98.035743755822793,15.158714950948111,,,10.833973821142092,24.905099588555483,0.44594201095402242,16.27245138302716,0.29136884283274417,,,,,203.66433203686802,0.11166,178.33292861410106,,0.17750487442733018,,4.7847741660960681,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,207.80614889004937,320.52302543867989,,,0.55012652379172411,0.314895,35.874015492366439,4.288956706285477,471.58547187599117,122.75910275268555,,,,,203.29010592847698,1.63021,83.679426823027669,54.0751,26.958269433668566,,8.9556786458398534,,,,,,,,,,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,0.0,40.0,200.0,1.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
12,,,,,,,,,,,,,,,,,,,,,,,,107.30043374974467,15.698030212913064,,,11.059645622559602,24.975161894635427,0.42321314856410031,17.397888905042247,0.29481347371637823,,,,,209.78723390281371,0.112905,181.5361316888058,,0.18796142294671889,,4.7832045262825709,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,40.0,200.0,19.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
13,,,,,,,,,,,,,,,,,,,,,,,,104.36608856995537,22.733302656304176,,,9.2272102184791045,28.472109459427145,0.71873211309313778,17.791556612065722,0.44911882054805757,,,,,211.38790039505722,0.171714,180.08633353504726,,0.22406258696677764,,6.4082296708935687,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,40.0,200.0,8.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
14,,,,,,,,,,,,,,,,,,,,,,,,110.46011449866384,15.287226478191336,,,12.239682883889351,26.424864669659573,0.42349155163764957,15.295622289024537,0.24513140055537225,,,,,218.28282247979703,0.0939427,178.55639240015074,,0.18221662331826519,,4.8318728707446859,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,40.0,200.0,3.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
15,,,,,,,,,,,,,,,,,,,,,,,,99.962118150604852,22.952761327299502,,,9.2694033066963808,27.978168584408284,0.74436315983533863,17.262710527574594,0.45927687054872518,,,,,205.83844241571455,0.175694,181.01856759761134,,0.21426504560454873,,6.6286137362587771,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,40.0,200.0,20.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
16,,,,,,,,,,,,,,,,,,,,,,,,112.36564758175233,16.665995718304096,,,11.638236248853115,26.230162270279923,0.45060809580981737,16.48504025894221,0.28319658312946561,,,,,212.90163801314603,0.108461,182.15182004834423,,0.19100916077170435,,5.0906828239297228,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,40.0,200.0,18.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
17,,,,,,,,,,,,,,,,,,,,,,,,98.534185157431452,15.874597124303275,,,9.8786097286116252,25.135020175343939,0.46907463875412947,17.772824904931287,0.33167998495697976,,,,,210.24626162713503,0.126988,182.39923728207614,,0.19273592148516874,,4.7695783655927588,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,40.0,200.0,19.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
18,,,,,,,,,,,,,,,,,,,,,,,,104.49429424686272,17.196292350747296,,,15.255680759857672,21.229482881055912,0.40427738349139691,14.449944156141536,0.27517325866222386,,,,,221.7500510166378,0.105685,184.42375590750319,,0.13326772988181176,,6.247982182816326,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,40.0,200.0,14.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
19,,,,,,,,,,,,,,,,,,,,,,,,105.32518847905715,19.861491288372111,,,9.1936236814680079,29.165444536547135,0.63740306590497497,17.592255380840228,0.38447410488128664,,,,,225.76855176433119,0.146976,181.35433154079863,,0.22887351291996105,,5.5624324308224047,"Gauss2d, vertical, t_exp = 15.0ms, OD_max = 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,40.0,200.0,6.0,-1.95,-3.5,-6.1,-2.8,-2.725,-2.45,-2.075,-2.0,-1.664,-1.26,1.0,-6.05,-1.7,-1.3,-0.81,30.0,20.0,10.0,100.0,50.0,400.0,8000.0,-2.7,0.0,6.0,666.0,-7.0,-1.45,170.0,-0.65,-1.2,-1.7,-1.2,10.0,-0.61,-2.1,-1.55,-1.3,-2.0,-1.0,-2.0,-0.2,-0.185,-0.185,6.0,-0.275,-0.8,-2.1,-0.375,1.0,50.0,-0.75,-0.6,-5.0,-3.8,,False
